,text,label
0,绿盟工业安全隔离装置 ISID绿盟工业安全隔离装置由内、外网处理单元和安全数据交换单元组成。安全数据交换单元在内外网主机间按照指定的周期进行安全数据的摆渡。从而在保证内外网隔离的情况下，实现可靠、高效的安全数据交换，而所有这些复杂的操作均由隔离系统自动完成，用户只需依据自身业务特点定制合适的安全策略既可实现内外网络进行安全数据通信，在保障用户信息系统安全性的同时，最大限度保证客户应用的方便性。,安全
1,"PPC-4151W15.6"" 无风扇宽屏工业平板电脑，搭载Intel Core i5/Celeron 处理器",工业自动化
2,360工业互联网恶意代码检测系统360恶意代码检测技术基于海量样本数据对恶意代码进行特征提取、AI建模，及时发现恶意 代码，阻断网络攻击行为，是用于构建网络安全防御体系的关键技术。360集团结合国家工业互联网安全科技项目，打造工业互联网恶意代码检测系统，通过工业 互联网恶意代码检测系统的应用，为企业提供安全防护的能力，在应对工业互联网企业自身安全 威胁时，能够体系化、正确化的解决安全问题。,安全
3,ERP、云ERP、移动办公、移动学习、电子商务平台、供应链协同平台,工业软件与平台
4,CCS系列电子叉车秤CCS系列电子叉车秤该叉车秤是指在小型手动液压升降搬运车基础上增加高精度称重传感器和智能化数字显示仪表而组成的称重系统。电子叉车秤实现了货物的搬运和称重同步进行，每次称重的数据可以自动显示。具有外形尺寸小、推行轻巧、升降自如、转弯方便、计量精确等优点。电子叉车秤是本公司在丰富的称重设备制造经验的基础上研制而成，主要用于仓储作业中货物的转移称量、计数，如铁路、公路货物的盘点称量；工矿企业成品库、半成品库货物出入库称量等等。,智能装备
5,FPM-7211W研华以其全新的设计理念推出FPM-7000W系列宽屏工业级显示器。此系列装配全平面触摸屏，前面板符合IP66测试标准。FPM-7211W投射式电容触控可以支持5点触摸应用，全新易装设计为单人进行面板安装操作时提供了极大便利。此外，FPM-7211W采用超薄设计，无论是面板安装还是上墙安装，均能完美适应各场合。,工业自动化
6,FTX700连续自动分条机FTX700连续自动分条机功能概述● 连续分条机是通过放料、分切、刷粉除尘、收料，将轧制后的整卷电池极片纵向分切成所需宽度的自动化设备。本机极片放卷为双顶锥支撑式气缸锁紧被动放卷，放卷利用光纤追踪自动纠偏控制，放卷张力控制采用全自动闭环张力控制系统。通过超精密分切刀,智能装备
7,三轴自动焊锡机三轴自动焊锡机,智能装备
8,PPC-07TPPC-07T,工业自动化
9,管线行业赋码解决方案 H-G1系列可检测产品标识有无、正反、防错、防漏、字符识别等问题；可精准识别产品上的各种字符、条形码、二维码等，字符识别率高达99.99%;可对产品字符如生产日期、批号等进行数据校验比对，杜绝打标设备打错日期等；可在线式应用，检测识别效率为20个/秒，高效精准识别字符内容；可输出NG报警信号，直接触发剔废机构对不良品进行剔除；可对检测识别内容进行数据统计，数据导出等，方便快捷；采用OCR深度学习软件算法，识别率更高，效率更快，识别误差几乎为零；适用于各行业产品生产日期、批号、序列码等检测识别，如食品行业、烟酒饮料行业、化妆品行业等快消品市场。,安全
10,SR10AL手臂修长，同负载级机器人中拥有最长手臂。作业深度大，工作空间得到有效扩展。机械结构紧凑，大幅优化占用空间。高安全性设计，操作成熟可靠。精确灵巧，定位精度高，动作快速高效。网络化控制系统，具有丰富的外部接口及扩展能力，易于集成。应用全面，可配套各类工艺应用软件包,智能装备
11,北信源网络边界机北信源网络边界机，是北信源独创的专利产品。采用边缘计算、分布架构，以国密算法构筑强认证机制、将身份认证和准入在网络边界完美结合，针对工控核心区安全问题提供多种安全技术手段，拓展防御纵深，保护工控系统核心安全，有效降低工控系统安全风险，为工控系统化信息安全提供新解决方案，构筑工控安全新防线。,安全
12,ANOVO-ECC300支持Intel LGA1150( hasswell) 处理器 多串口、多USB口嵌入式电脑,工业自动化
13,产品型号 S611八核CPU，性能强劲 经典设计，极致轻薄三键扫描充电1小时，工作8小时全网4G医用手电筒2.4G/5G双频WiFi系统安全加固,工业自动化
14,KTK18(B)（带IO模块）*密封性能好、动作可靠、维护方便。*本机自带急停闭锁按钮，采用人工复位并设有动作指示灯。*本机带有通话和预警功能。*本机具有拉电缆急停的功能(拉线急停)。*两端接插式电缆，不分方向，安装方便灵活。*支持沿线故障自诊断功能。*本机带有4路开关量/模拟量输入和2路开关量输出，使用方便，可以根据需要安装在沿线的任何位置(一般装在皮带机头、中部或者机尾)。,安全
